"State","County","f0408","f0812","f1216"
"GA","Oconee",0,0,0
"GA","Oglethorpe",0,0,0
"GA","Paulding",0,0,0
"GA","Peach",1,0,-1
"GA","Pickens",0,0,0
"GA","Pierce",0,0,0
"GA","Pike",0,0,0
"GA","Polk",0,0,0
"GA","Pulaski",0,0,0
"GA","Putnam",0,0,0
"GA","Quitman",0,0,-1
"GA","Rabun",0,0,0
"GA","Randolph",0,0,0
"GA","Richmond",0,0,0
"GA","Rockdale",1,0,0
"GA","Schley",0,0,0
"GA","Screven",0,0,0
"GA","Seminole",0,0,0
"GA","Spalding",0,0,0
"GA","Stephens",0,0,0
"GA","Stewart",0,0,0
"GA","Sumter",1,0,0
"GA","Talbot",0,0,0
"GA","Taliaferro",0,0,0
"GA","Tattnall",0,0,0
"GA","Taylor",0,0,0
"GA","Telfair",0,0,0
"GA","Terrell",0,0,0
"GA","Thomas",0,0,0
"GA","Tift",0,0,0
"GA","Toombs",0,0,0
"GA","Towns",0,0,0
"GA","Treutlen",0,0,0
"GA","Troup",0,0,0
"GA","Turner",0,0,0
"GA","Twiggs",0,0,-1
"GA","Union",0,0,0
"GA","Upson",0,0,0
"GA","Walker",0,0,0
"GA","Walton",0,0,0
"GA","Ware",0,0,0
"GA","Warren",0,0,0
"GA","Washington",1,0,0
"GA","Wayne",0,0,0
"GA","Webster",-1,0,0
"GA","Wheeler",0,0,0
"GA","White",0,0,0
"GA","Whitfield",0,0,0
"GA","Wilcox",0,0,0
"GA","Wilkes",0,0,0
"GA","Wilkinson",0,0,0
"GA","Worth",0,0,0
"HI","Hawaii",0,0,0
"HI","Honolulu",0,0,0
"HI","Kauai",0,0,0
"HI","Maui",0,0,0
"IA","Adair",0,0,0
"IA","Adams",1,-1,0
"IA","Allamakee",1,0,-1
"IA","Appanoose",0,0,0
"IA","Audubon",1,-1,0
"IA","Benton",0,-1,0
"IA","Black Hawk",0,0,0
"IA","Boone",0,0,-1
"IA","Bremer",1,0,-1
"IA","Buchanan",0,0,-1
"IA","Buena Vista",0,0,0
"IA","Butler",0,0,0
"IA","Calhoun",0,0,0
"IA","Carroll",1,-1,0
"IA","Cass",0,0,0
"IA","Cedar",1,0,-1
"IA","Cerro Gordo",0,0,-1
"IA","Cherokee",0,0,0
"IA","Chickasaw",0,0,-1
"IA","Clarke",0,0,-1
"IA","Clay",0,0,0
"IA","Clayton",0,0,-1
"IA","Clinton",0,0,-1
"IA","Crawford",1,-1,0
"IA","Dallas",0,0,0
"IA","Davis",0,0,0
"IA","Decatur",0,0,0
"IA","Delaware",1,-1,0
"IA","Des Moines",0,0,-1
"IA","Dickinson",0,0,0
"IA","Dubuque",0,0,-1
"IA","Emmet",1,-1,0
"IA","Fayette",0,0,-1
"IA","Floyd",0,0,-1
"IA","Franklin",1,-1,0
"IA","Fremont",0,0,0
"IA","Greene",1,-1,0
"IA","Grundy",0,0,0
"IA","Guthrie",0,0,0
"IA","Hamilton",1,-1,0
