State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"NM","McKinley",297,2507,1010,1314,770,1291,1901,465
"NM","Rio Arriba",2772,2043,1892,1324,1668,1191,532,1328
"NM","Mora",713,2794,390,1233,179,1198,1400,1153
"NM","Santa Fe",1895,747,1361,1581,1022,1523,69,1206
"NM","San Miguel",2639,1456,1951,254,1866,283,651,1587
"NM","Taos",100,1588,496,334,333,329,1366,245
"NV","Elko",1349,223,1529,2379,30,289,92,359
"NV","Lander",1728,570,1621,1105,1305,2452,2652,350
"NV","Eureka",407,2188,76,451,1628,1269,916,2593
"NV","Lincoln",1739,551,1850,109,2682,605,1662,1399
"NV","Esmeralda",2789,1590,44,1322,1509,246,2508,699
"NV","Humboldt",346,1673,431,2115,2670,1395,1445,409
"NV","Churchill",1184,2504,747,1526,70,2366,2193,1431
"NV","Pershing",2064,357,2144,452,624,1620,2346,2486
"NV","White Pine",88,1155,2029,485,2025,573,376,1838
"NV","Lyon",2124,137,2615,239,1675,653,1666,757
"NV","Douglas",2575,505,89,147,2414,391,1226,649
"NV","Nye",2119,2705,2432,2814,2596,92,2128,608
"NV","Storey",2642,285,2337,84,2236,64,2173,208
"NV","Mineral",2719,350,106,267,2235,207,1921,378
"NV","Carson City",2735,339,2817,2521,2671,367,1742,449
"NV","Washoe",2474,2649,236,1041,2714,2731,2365,617
"NV","Clark",1243,1123,170,161,2763,1147,2660,2821
"NY","Bronx",1255,2179,2744,1971,2517,1743,2290,1212
"NY","New York",2034,82,2393,117,2089,2844,2357,1808
"NY","Kings",1997,625,1486,1712,1274,1161,1782,200
"NY","Queens",1784,613,1901,1670,1953,105,1371,1486
"NY","Tompkins",1193,404,424,687,1615,1511,2095,385
"NY","Albany",2665,2135,697,509,166,540,1486,1622
"NY","Westchester",969,566,1274,1227,389,171,2541,779
"NY","Erie",1087,745,738,787,894,1135,229,618
"NY","St. Lawrence",962,723,11,33,479,600,620,1298
"NY","Ulster",1911,1640,820,278,2563,2748,246,801
"NY","Onondaga",167,2810,655,350,603,7,2093,130
"NY","Nassau",1413,1287,193,2831,394,151,346,362
"NY","Clinton",591,514,2751,52,2707,2590,317,306
"NY","Franklin",2749,2689,2411,2197,2427,2767,2442,2799
"NY","Schenectady",1535,1419,1107,697,2167,2037,2067,129
"NY","Columbia",518,449,43,2565,908,590,2038,2201
"NY","Monroe",615,593,65,2344,2619,2336,751,697
"NY","Broome",1868,1821,2777,191,2647,2040,2240,2497
"NY","Rensselaer",1537,1513,81,545,2491,2870,2197,2560
"NY","Suffolk",1383,1368,2799,227,2625,403,2062,307
"NY","Niagara",1911,1915,233,905,2490,2886,2268,605
"NY","Rockland",2300,2346,220,448,2727,622,2174,182
"NY","Cayuga",627,704,700,836,45,287,2365,737
"NY","Sullivan",456,513,2209,503,483,607,2328,583
"NY","Otsego",261,347,1971,2199,1751,2006,235,864
"NY","Dutchess",2170,2317,371,573,84,368,1212,2424
"NY","Cortland",72,187,450,432,260,314,60,815
"NY","Oswego",1033,1171,863,431,1725,2483,68,527
"NY","Essex",2649,2874,2709,80,654,298,1929,2217
"NY","Saratoga",1940,2164,1501,1245,2484,2700,630,320
"NY","Seneca",2401,2622,2138,2735,1037,912,2097,81
"NY","Chautauqua",1196,1433,1903,1864,1699,1694,1316,1223
"NY","Montgomery",2737,158,1791,1938,1577,1732,1404,1962
"NY","Orange",2281,2617,300,2657,122,2488,1318,1931
"NY","Chemung",599,912,1083,1075,870,951,38,2592
"NY","Chenango",2715,182,2539,2449,2325,2256,807,1077
"NY","Jefferson",582,906,2317,2836,2043,2618,2162,2482
"NY","Madison",304,607,1066,995,889,752,1753,186
"NY","Warren",330,641,367,222,96,57,504,1151
"NY","Oneida",1701,2068,910,1074,655,968,2616,261
"NY","Richmond",2377,2765,1919,536,1674,38,627,1119
"NY","Washington",66,390,1674,1422,1496,1203,1846,437
"NY","Ontario",866,1238,2557,2672,2186,2055,1287,1397
"NY","Putnam",773,1173,2379,2247,765,423,2166,2174
"NY","Fulton",2707,287,1014,632,1920,1888,443,769
"NY","Delaware",2644,225,2129,2032,1456,1073,1823,2005
"NY","Herkimer",169,571,1637,1293,1914,2412,1323,1213
"NY","Tioga",2765,386,2200,2588,1447,1660,1575,2644
"NY","Schuyler",1491,1984,1661,1840,2273,2084,1173,2024
"NY","Greene",2666,326,2471,2416,2320,2368,1937,2385
"NY","Lewis",1847,2370,631,1035,423,872,2239,2833
"NY","Cattaraugus",337,839,1516,1341,1195,1143,135,1110
"NY","Yates",1745,2313,618,401,354,142,1176,1430
"NY","Schoharie",2121,2721,18,274,2545,162,114,501
"NY","Livingston",147,702,1307,213,1044,16,2253,280
"NY","Wayne",504,1082,2084,1439,1758,1209,1080,2852
"NY","Genesee",30,626,574,530,299,311,1656,1433
"NY","Orleans",2198,32,284,272,60,27,151,474
